fold_id,formation_start,formation_end,evaluation_start,evaluation_end,evaluation_identity_count,formation_end_member_count,ranked_member_count,insufficient_history_member_count,new_or_nonmember_evaluation_identity_count,tier_high_count,tier_medium_count,tier_lower_count
fold_01,2000-03-31,2003-03-28,2003-03-31,2004-03-30,411,197,197,0,214,59,78,274
fold_02,2001-04-02,2004-03-30,2004-03-31,2005-03-30,433,198,198,0,235,59,79,295
fold_03,2002-04-02,2005-03-30,2005-03-31,2006-03-30,435,200,198,2,235,59,79,297
fold_04,2003-03-31,2006-03-30,2006-03-31,2007-03-30,443,200,200,0,243,60,80,303
fold_05,2004-03-31,2007-03-30,2007-04-02,2008-03-28,458,201,201,0,257,60,80,318
fold_06,2005-03-31,2008-03-28,2008-03-31,2009-03-30,432,200,200,0,232,60,80,292
fold_07,2006-03-31,2009-03-30,2009-03-31,2010-03-30,422,197,197,0,225,59,78,285
fold_08,2007-04-02,2010-03-30,2010-03-31,2011-03-30,421,197,197,0,224,59,78,284
fold_09,2008-03-31,2011-03-30,2011-03-31,2012-03-30,412,197,196,1,215,58,79,275
fold_10,2009-03-31,2012-03-30,2012-04-02,2013-03-28,395,199,199,0,196,59,80,256
fold_11,2010-03-31,2013-03-28,2013-04-02,2014-03-28,393,199,199,0,194,59,80,254
fold_12,2011-03-31,2014-03-28,2014-03-31,2015-03-30,409,200,200,0,209,60,80,269
fold_13,2012-04-02,2015-03-30,2015-03-31,2016-03-30,409,199,199,0,210,59,80,270
fold_14,2013-04-02,2016-03-30,2016-03-31,2017-03-30,404,200,199,1,204,59,80,265
fold_15,2014-03-31,2017-03-30,2017-03-31,2018-03-29,399,200,200,0,199,60,80,259
fold_16,2015-03-31,2018-03-29,2018-04-03,2019-03-29,397,200,200,0,197,60,80,257
fold_17,2016-03-31,2019-03-29,2019-04-01,2020-03-30,386,200,200,0,186,60,80,246
fold_18,2017-03-31,2020-03-30,2020-03-31,2021-03-30,378,196,195,1,182,58,78,242
fold_19,2018-04-03,2021-03-30,2021-03-31,2022-03-30,381,200,200,0,181,60,80,241
fold_20,2019-04-01,2022-03-30,2022-03-31,2023-03-30,364,200,199,1,164,59,80,225
fold_21,2020-03-31,2023-03-30,2023-03-31,2024-03-28,355,199,199,0,156,59,80,216
fold_22,2021-03-31,2024-03-28,2024-04-02,2025-03-28,343,200,200,0,143,60,80,203
fold_23,2022-03-31,2025-03-28,2025-03-31,2026-03-30,330,199,199,0,131,59,80,191
fold_24,2023-03-31,2026-03-30,2026-03-31,2026-08-27,317,200,200,0,117,60,80,177
