fold_id,formation_start,formation_end,evaluation_start,evaluation_end,strategy_name,identity_col,eligibility_col,selection_objective,benchmark_missing_policy,chosen_parameters,formation_objective_value,formation_total_net_excess_return,formation_average_turnover,formation_benchmark_observation_count
fold_01,2000-03-31,2003-03-28,2003-03-31,2004-03-30,mean_reversion,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|entry_z=-1.5|exit_z=-0.25|lookback_window=20|min_history=60,-0.8650918573672659,-1.789253734294969,1.3249919178085168,756
fold_02,2001-04-02,2004-03-30,2004-03-31,2005-03-30,mean_reversion,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|entry_z=-1.5|exit_z=-0.25|lookback_window=20|min_history=60,-0.9443030843504272,-1.4493289398131572,1.452323912556455,758
fold_03,2002-04-02,2005-03-30,2005-03-31,2006-03-30,mean_reversion,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|entry_z=-1.5|exit_z=-0.25|lookback_window=20|min_history=60,-1.0056061441948785,-1.3210130266640427,1.458005546429942,759
fold_04,2003-03-31,2006-03-30,2006-03-31,2007-03-30,mean_reversion,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|entry_z=-2.0|exit_z=-0.25|lookback_window=20|min_history=60,-1.4911703795425086,-1.2980898633808646,1.4244261136216467,761
fold_05,2004-03-31,2007-03-30,2007-04-02,2008-03-28,mean_reversion,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|entry_z=-1.5|exit_z=-0.25|lookback_window=20|min_history=60,-1.5497602285187364,-1.482101431112458,1.4856751061656603,760
fold_06,2005-03-31,2008-03-28,2008-03-31,2009-03-30,mean_reversion,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|entry_z=-1.5|exit_z=-0.25|lookback_window=20|min_history=60,-1.2353931276047518,-1.76656793608198,1.500902232521463,758
fold_07,2006-03-31,2009-03-30,2009-03-31,2010-03-30,mean_reversion,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|entry_z=-1.5|exit_z=-0.25|lookback_window=10|min_history=60,-0.7596983752631856,-2.686574576229482,1.4976416216209456,758
fold_08,2007-04-02,2010-03-30,2010-03-31,2011-03-30,mean_reversion,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|entry_z=-1.5|exit_z=-0.25|lookback_window=10|min_history=60,-0.8545523584885973,-2.2267569775995604,1.4787747842509962,759
fold_09,2008-03-31,2011-03-30,2011-03-31,2012-03-30,mean_reversion,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|entry_z=-1.5|exit_z=-0.25|lookback_window=10|min_history=60,-0.9504868028909886,-2.341834316890995,1.4840927921361744,762
fold_10,2009-03-31,2012-03-30,2012-04-02,2013-03-28,mean_reversion,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|entry_z=-1.5|exit_z=-0.25|lookback_window=20|min_history=60,-1.0747098978446317,-1.4790346116321507,1.4348732833859745,761
