fold_id,formation_start,formation_end,evaluation_start,evaluation_end,strategy_name,identity_col,eligibility_col,selection_objective,benchmark_missing_policy,chosen_parameters,formation_objective_value,formation_total_net_excess_return,formation_average_turnover,formation_benchmark_observation_count,selected_pair_count,formation_history_convention,capital_normalization,pair_cost_application,borrow_financing
fold_01,2000-03-31,2003-03-28,2003-03-31,2004-03-30,pairs_trading,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|entry_z=2.0|exit_z=0.5|spread_window=20,0.1585318352063212,0.12086320418538497,0.07989417989417989,756,5,all_observable_prices_within_formation_window_for_formation_end_eligible_assets,gross_exposure_normalized_by_1_plus_abs_hedge_ratio,normalized_two_leg_weighted_tier_cost,excluded_disclosed_limitation
fold_02,2001-04-02,2004-03-30,2004-03-31,2005-03-30,pairs_trading,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|entry_z=2.0|exit_z=0.5|spread_window=10,-0.122652256794479,-0.1216006456518905,0.07968337730870713,758,5,all_observable_prices_within_formation_window_for_formation_end_eligible_assets,gross_exposure_normalized_by_1_plus_abs_hedge_ratio,normalized_two_leg_weighted_tier_cost,excluded_disclosed_limitation
fold_03,2002-04-02,2005-03-30,2005-03-31,2006-03-30,pairs_trading,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|entry_z=1.5|exit_z=0.25|spread_window=20,-0.24463702484035887,-0.20678355939024115,0.1080368906455863,759,5,all_observable_prices_within_formation_window_for_formation_end_eligible_assets,gross_exposure_normalized_by_1_plus_abs_hedge_ratio,normalized_two_leg_weighted_tier_cost,excluded_disclosed_limitation
fold_04,2003-03-31,2006-03-30,2006-03-31,2007-03-30,pairs_trading,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|entry_z=2.0|exit_z=0.5|spread_window=20,-0.8736934241497525,-0.5810975846558187,0.08173455978975032,761,5,all_observable_prices_within_formation_window_for_formation_end_eligible_assets,gross_exposure_normalized_by_1_plus_abs_hedge_ratio,normalized_two_leg_weighted_tier_cost,excluded_disclosed_limitation
fold_05,2004-03-31,2007-03-30,2007-04-02,2008-03-28,pairs_trading,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|entry_z=1.5|exit_z=0.5|spread_window=10,-0.9176806556863477,-0.6330921233085728,0.2028947368421053,760,5,all_observable_prices_within_formation_window_for_formation_end_eligible_assets,gross_exposure_normalized_by_1_plus_abs_hedge_ratio,normalized_two_leg_weighted_tier_cost,excluded_disclosed_limitation
fold_06,2005-03-31,2008-03-28,2008-03-31,2009-03-30,pairs_trading,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|entry_z=1.5|exit_z=0.25|spread_window=10,-0.343514491446137,-0.30385586520060637,0.17651715039577837,758,5,all_observable_prices_within_formation_window_for_formation_end_eligible_assets,gross_exposure_normalized_by_1_plus_abs_hedge_ratio,normalized_two_leg_weighted_tier_cost,excluded_disclosed_limitation
fold_07,2006-03-31,2009-03-30,2009-03-31,2010-03-30,pairs_trading,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|entry_z=1.5|exit_z=0.5|spread_window=20,0.4789249076543959,0.3838360297423749,0.12031662269129285,758,5,all_observable_prices_within_formation_window_for_formation_end_eligible_assets,gross_exposure_normalized_by_1_plus_abs_hedge_ratio,normalized_two_leg_weighted_tier_cost,excluded_disclosed_limitation
fold_08,2007-04-02,2010-03-30,2010-03-31,2011-03-30,pairs_trading,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|entry_z=1.5|exit_z=0.25|spread_window=20,0.16215969498808025,0.07136163481833441,0.11594202898550725,759,5,all_observable_prices_within_formation_window_for_formation_end_eligible_assets,gross_exposure_normalized_by_1_plus_abs_hedge_ratio,normalized_two_leg_weighted_tier_cost,excluded_disclosed_limitation
fold_09,2008-03-31,2011-03-30,2011-03-31,2012-03-30,pairs_trading,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|entry_z=1.5|exit_z=0.25|spread_window=20,0.14809587854106332,0.05847996493501466,0.10866141732283462,762,5,all_observable_prices_within_formation_window_for_formation_end_eligible_assets,gross_exposure_normalized_by_1_plus_abs_hedge_ratio,normalized_two_leg_weighted_tier_cost,excluded_disclosed_limitation
fold_10,2009-03-31,2012-03-30,2012-04-02,2013-03-28,pairs_trading,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|entry_z=2.0|exit_z=0.25|spread_window=20,-0.28677332406632905,-0.27567798800808757,0.07095926412614981,761,5,all_observable_prices_within_formation_window_for_formation_end_eligible_assets,gross_exposure_normalized_by_1_plus_abs_hedge_ratio,normalized_two_leg_weighted_tier_cost,excluded_disclosed_limitation
