year,mean_abnormal_net_return_difference,matched_observation_count
2001,0.07765055858011805,16
2002,0.07164629174479459,18
2003,0.06922011475841426,19
2004,0.052373206460207905,18
2005,0.04783391196358915,19
2006,0.0821538207299494,19
2007,-0.018258322381761227,18
2008,-0.12759866616148433,18
2009,-0.392229863003593,15
2010,-0.05069597136310122,15
2011,0.09274086751752934,17
2012,-0.04359536186291478,18
2013,0.14329774049984315,16
2014,0.08363295332446288,20
2015,-0.0836082309340735,19
2016,0.01837755434091666,18
2017,0.10875155985697163,17
2018,0.0013665499760202725,20
2019,0.040392001265036157,18
2020,-0.2278862424254553,14
2021,0.07594927174066401,18
2022,0.2561984136709705,19
2023,0.06389591038839917,20
2024,0.05127404427033192,20
2025,0.23219496140106616,18
2026,0.022811934816536046,20
