fold_id,formation_start,formation_end,evaluation_start,evaluation_end,strategy_name,identity_col,eligibility_col,selection_objective,benchmark_missing_policy,chosen_parameters,formation_objective_value,formation_total_net_excess_return,formation_average_turnover,formation_benchmark_observation_count
fold_01,2000-03-31,2003-03-28,2003-03-31,2004-03-30,trend_following,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|fast_window=50|min_history=220|slow_window=200,0.15712931988677337,0.12584516502845733,0.016593932747726896,756
fold_02,2001-04-02,2004-03-30,2004-03-31,2005-03-30,trend_following,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|fast_window=50|min_history=220|slow_window=200,0.36183096185968866,0.2511893348671671,0.020198175259748263,758
fold_03,2002-04-02,2005-03-30,2005-03-31,2006-03-30,trend_following,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|fast_window=50|min_history=220|slow_window=200,0.30768849388489805,0.1985623979454062,0.01818440333750703,759
fold_04,2003-03-31,2006-03-30,2006-03-31,2007-03-30,trend_following,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|fast_window=50|min_history=220|slow_window=200,0.23207045596646658,0.10878830717662857,0.016351319513217458,761
fold_05,2004-03-31,2007-03-30,2007-04-02,2008-03-28,trend_following,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|fast_window=50|min_history=220|slow_window=200,0.16417753541767022,0.07840143544157546,0.01606155273150069,760
fold_06,2005-03-31,2008-03-28,2008-03-31,2009-03-30,trend_following,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|fast_window=100|min_history=220|slow_window=200,0.11142400576271272,0.07333684197331707,0.017706163691728793,758
fold_07,2006-03-31,2009-03-30,2009-03-31,2010-03-30,trend_following,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|fast_window=50|min_history=220|slow_window=150,-0.007059679375413408,-0.01838666352080886,0.03901827389709093,758
fold_08,2007-04-02,2010-03-30,2010-03-31,2011-03-30,trend_following,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|fast_window=50|min_history=220|slow_window=150,0.06183419731199169,0.058359171661496366,0.04216606476826241,759
fold_09,2008-03-31,2011-03-30,2011-03-31,2012-03-30,trend_following,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|fast_window=50|min_history=220|slow_window=150,0.09220125412810298,0.07939544325789445,0.04271722715605068,762
fold_10,2009-03-31,2012-03-30,2012-04-02,2013-03-28,trend_following,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|fast_window=50|min_history=220|slow_window=150,0.30334235364790163,0.2026887257068154,0.03510130185022994,761
